dataset,setting_type,k,metric,comparison_family,comparison_label,method_a,method_b,n_pairs,seeds,mean_a,mean_b,mean_difference_a_minus_b,percent_improvement,ci95_low_difference,ci95_high_difference,cohens_dz,paired_t_p_value,paired_t_holm_p_value,paired_t_holm_reject_0_05
ember,ablation,25,wasserstein_real_generated,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.06771042048931117,0.05407281219959255,0.01363760828971862,-25.220823062391755,0.005436713546712364,0.021838503032724874,2.0648146044539355,0.009902901614238032,0.3763102613410452,False
ember,ablation,25,mean_acc_seen,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.7387449006386222,0.7950161615475182,-0.056271260908896024,-7.078002137637382,-0.07936890020575242,-0.03317362161203963,-3.024984411009326,0.002491986924653492,0.1245993462326746,False
ember,ablation,25,final_taskwise_average_accuracy,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.6715352292715236,0.7427515336287188,-0.07121630435719513,-9.588173316757398,-0.09085615232758223,-0.05157645638680803,-4.502413732467817,0.0005475091451866191,0.03668311272750348,True
ember,ablation,25,forgetting,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.2499981636825796,0.182218153266521,0.06778001041605863,-37.197177778945175,0.04303368055980718,0.09252634027231009,3.4009083052061353,0.0016045547165997405,0.08985506412958547,False
ember,ablation,25,macro_f1,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.5185754908134772,0.6739005211289539,-0.1553250303154767,-23.04865858469259,-0.1749065492751539,-0.1357435113557995,-9.849159228136557,2.5157573562104607e-05,0.003671008350043056,True
ember,ablation,25,balanced_accuracy,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.6313624496326167,0.7350179007049255,-0.10365545107230874,-14.10243899813829,-0.11672129939256319,-0.09058960275205429,-9.850507878201896,2.5143892808514083e-05,0.003671008350043056,True
ember,ablation,25,old_class_accuracy,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.5849949412754741,0.722469548433991,-0.1374746071585169,-19.02842928902731,-0.19125184610445717,-0.08369736821257662,-3.1741546000070735,0.0020811575197725806,0.10822019102817419,False
ember,ablation,25,new_class_accuracy,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.8682005766886467,0.8734504933973815,-0.005249916708734736,-0.6010548678396909,-0.024317536204487955,0.013817702787018485,-0.3418692392228701,0.48721000532564823,1.0,False
ember,ablation,25,mmd_real_generated,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.00873181819915764,0.0024696588516235,0.006262159347534139,-253.56373992373614,0.001643661010052754,0.010880657685015525,1.6835553993267305,0.019697224247068944,0.6178862256912582,False
ember,ablation,25,wasserstein_real_generated,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.06835490614175792,0.05407281219959255,0.014282093942165378,-26.412707904755482,-0.0011911327451345401,0.029755320629465294,1.1460804023188091,0.062458375318802536,1.0,False
