dataset,method,seed,stage,sw_seen_accuracy,tm_seen_accuracy,cumulative_test_support,observed_tasks,definition_version
EMBER,protocol-matched adapted MalCL baseline,49,7,57.49791068638495,47.31128456710554,27521,7,V15.5
EMBER,protocol-matched adapted MalCL baseline,49,8,55.8415003877882,47.81855091034102,28366,8,V15.5
EMBER,protocol-matched adapted MalCL baseline,49,9,54.03148301574151,45.81637947841845,30175,9,V15.5
EMBER,protocol-matched adapted MalCL baseline,49,10,42.037921997841835,41.18043729769448,32435,10,V15.5
EMBER,protocol-matched adapted MalCL baseline,49,11,53.51293615001187,45.477858360621745,33704,11,V15.5
EMBER,protocol-matched adapted MalCL baseline,50,1,68.9293212036389,68.9293212036389,14290,1,V15.5
EMBER,protocol-matched adapted MalCL baseline,50,2,65.04299792856695,55.10834592401073,15931,2,V15.5
EMBER,protocol-matched adapted MalCL baseline,50,3,60.556417773179284,57.579395274260605,17397,3,V15.5
EMBER,protocol-matched adapted MalCL baseline,50,4,67.23158580873452,66.09934615259729,21478,4,V15.5
EMBER,protocol-matched adapted MalCL baseline,50,5,62.13493571333893,53.74314057582408,22633,5,V15.5
EMBER,protocol-matched adapted MalCL baseline,50,6,61.22166464786295,51.684471076549755,23116,6,V15.5
EMBER,protocol-matched adapted MalCL baseline,50,7,58.73042319226924,45.7323330810533,24008,7,V15.5
EMBER,protocol-matched adapted MalCL baseline,50,8,58.621081326669696,47.26719126087994,26412,8,V15.5
EMBER,protocol-matched adapted MalCL baseline,50,9,54.615836587979125,41.56353779590686,28933,9,V15.5
EMBER,protocol-matched adapted MalCL baseline,50,10,51.304856281159594,39.44649618987795,32494,10,V15.5
EMBER,protocol-matched adapted MalCL baseline,50,11,51.756468075005934,37.979230211297725,33704,11,V15.5
EMBER,protocol-matched adapted MalCL baseline,51,1,76.86966106365391,76.86966106365391,18145,1,V15.5
EMBER,protocol-matched adapted MalCL baseline,51,2,71.22423425158928,70.38518989881581,20764,2,V15.5
EMBER,protocol-matched adapted MalCL baseline,51,3,66.72887893492597,61.55246144719578,24111,3,V15.5
EMBER,protocol-matched adapted MalCL baseline,51,4,66.8051434223541,65.2361257282705,25275,4,V15.5
EMBER,protocol-matched adapted MalCL baseline,51,5,67.18600720217535,67.22175990208108,27214,5,V15.5
EMBER,protocol-matched adapted MalCL baseline,51,6,66.53036114930883,63.34355149706246,27634,6,V15.5
EMBER,protocol-matched adapted MalCL baseline,51,7,62.83589419771276,57.72536887064322,28506,7,V15.5
EMBER,protocol-matched adapted MalCL baseline,51,8,61.9396039921697,55.375171518520524,31161,8,V15.5
EMBER,protocol-matched adapted MalCL baseline,51,9,59.63334163346613,50.71257857215734,32128,9,V15.5
EMBER,protocol-matched adapted MalCL baseline,51,10,59.15582837000122,47.759536420059575,32908,10,V15.5
EMBER,protocol-matched adapted MalCL baseline,51,11,58.76157132684548,47.50338141761271,33704,11,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),42,1,83.367,83.367,11387,1,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),42,2,80.66103632779925,87.4691,13191,2,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),42,3,80.96801575534165,86.08206666666666,14649,3,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),42,4,78.29110306069214,83.42445,17251,4,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),42,5,76.46186228668067,79.4785,19513,5,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),42,6,75.25021422040423,79.67631666666666,20780,6,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),42,7,73.25848507228021,77.16411428571428,22897,7,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),42,8,72.02760014418767,73.9821375,25661,8,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),42,9,71.93117131394182,76.45234444444445,25922,9,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),42,10,72.7930283395433,78.41226000000002,27107,10,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),42,11,69.42819655099967,72.83874545454545,28559,11,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),43,1,84.21849999999999,84.21849999999999,15911,1,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),43,2,79.34699540422676,79.8769,17886,2,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),43,3,76.02283186109945,71.82076666666667,19064,3,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),43,4,75.3061106736914,76.91105,20499,4,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),43,5,74.53680643244188,75.21821999999999,22884,5,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),43,6,74.44412559017941,77.64269999999999,23298,6,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),43,7,73.44497201198664,76.59029999999998,26029,7,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),43,8,72.74898397928071,74.24858750000001,27221,8,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),43,9,71.6682387060852,72.503,27838,9,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),43,10,71.09687287440808,72.73628,28298,10,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),43,11,71.3960661507756,74.75097272727272,28559,11,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),44,1,85.59400000000001,85.59400000000001,16146,1,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),44,2,81.78675937985388,85.71685,17383,2,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),44,3,80.43726050018988,85.45843333333335,18433,3,V15.5
